Year & Common,C,1B,2B,3B,SS,OF,OF,OF,DH,Utility
2024 AL,Perez · KCR,Guerrero · TOR,Altuve · HOU,Ramírez · CLE,Witt · KCR,Soto · NYY,Judge · NYY,Santander · BAL,Rooker · OAK,Smith · TEX
2023 AL,Rutschman · BAL,Díaz · TBR,Semien · TEX,Devers · BOS,Seager · TEX,Rodríguez · SEA,Robert · CHW,Tucker · HOU,Ohtani · LAA,Henderson · BAL
2022 AL,Kirk · TOR,Lowe · TEX,Altuve · HOU,Ramírez · CLE,Bogaerts · BOS,Rodríguez · SEA,Trout · LAA,Judge · NYY,Alvarez · HOU,Arráez · MIN
2021 AL,Perez · KCR,Guerrero · TOR,Semien · TOR,Devers · BOS,Bogaerts · BOS,Hernández · TOR,Judge · NYY,Mullins · BAL,Ohtani · LAA,
2020 AL,Perez · KCR,Abreu · CHW,LeMahieu · NYY,Ramírez · CLE,Anderson · CHW,Hernández · TOR,Jiménez · CHW,Trout · LAA,Cruz · MIN,
2019 AL,Garver · MIN,Santana · CLE,LeMahieu · NYY,Bregman · HOU,Bogaerts · BOS,Springer · HOU,Betts · BOS,Trout · LAA,Cruz · MIN,
2018 AL,Perez · KCR,Abreu · CHW,Altuve · HOU,Ramírez · CLE,Lindor · CLE,Betts · BOS,Martinez · BOS,Trout · LAA,Martinez · BOS,
2017 AL,Sánchez · NYY,Hosmer · KCR,Altuve · HOU,Ramírez · CLE,Lindor · CLE,Upton · 2tm,Judge · NYY,Springer · HOU,Cruz · SEA,
2016 AL,Perez · KCR,Cabrera · DET,Altuve · HOU,Donaldson · TOR,Bogaerts · BOS,Trout · LAA,Betts · BOS,Trumbo · BAL,Ortiz · BOS,
2015 AL,McCann · NYY,Cabrera · DET,Altuve · HOU,Donaldson · TOR,Bogaerts · BOS,Trout · LAA,Martinez · DET,Cruz · SEA,Morales · KCR,
2014 AL,Gomes · CLE,Abreu · CHW,Altuve · HOU,Beltré · TEX,Ramírez · CHW,Brantley · CLE,Bautista · TOR,Trout · LAA,Martínez · DET,
