Year & Common,P,C,1B,2B,3B,SS,OF,OF,OF,Utility,Team
2024 AL,Lugo · KCR,Raleigh · SEA,Santana · MIN,Giménez · CLE,Bregman · HOU,Witt · KCR,Abreu · BOS,Varsho · TOR,Kwan · CLE,Moore · SEA,Toronto Blue Jays
2023 AL,Berríos · TOR,Heim · TEX,Lowe · TEX,Giménez · CLE,Chapman · TOR,Volpe · NYY,Kwan · CLE,García · TEX,Kiermaier · TOR,Dubón · HOU,Toronto Blue Jays
2022 AL,Bieber · CLE,Trevino · NYY,Guerrero · TOR,Giménez · CLE,Urías · BAL,Peña · HOU,Straw · CLE,Tucker · HOU,Kwan · CLE,LeMahieu · NYY,New York Yankees
2021 AL,Keuchel · CHW,Murphy · OAK,Gurriel · HOU,Semien · TOR,Chapman · OAK,Correa · HOU,Gallo · 2tm,Taylor · KCR,Benintendi · KCR,,Houston Astros
2020 AL,Canning · LAA,Pérez · CLE,White · SEA,Hernández · CLE,Kiner-Falefa · TEX,Crawford · SEA,Gordon · KCR,Gallo · TEX,Robert · CHW,,Cleveland Indians
2019 AL,Leake · SEA,Pérez · CLE,Olson · OAK,Sanchez · CHW,Chapman · OAK,Lindor · CLE,Gordon · KCR,Kiermaier · TBR,Betts · BOS,,
2018 AL,Keuchel · HOU,Perez · KCR,Olson · OAK,Kinsler · 2tm,Chapman · OAK,Simmons · LAA,Gordon · KCR,Bradley · BOS,Betts · BOS,,
2017 AL,Stroman · TOR,Maldonado · LAA,Hosmer · KCR,Dozier · MIN,Longoria · TBR,Simmons · LAA,Buxton · MIN,Gordon · KCR,Betts · BOS,,
2016 AL,Keuchel · HOU,Perez · KCR,Moreland · TEX,Kinsler · DET,Beltré · TEX,Lindor · CLE,Kiermaier · TBR,Betts · BOS,Gardner · NYY,,
2015 AL,Keuchel · HOU,Perez · KCR,Hosmer · KCR,Altuve · HOU,Machado · BAL,Escobar · KCR,Calhoun · LAA,Céspedes · DET,Kiermaier · TBR,,
2014 AL,Keuchel · HOU,Perez · KCR,Hosmer · KCR,Pedroia · BOS,Seager · SEA,Hardy · BAL,Jones · BAL,Gordon · KCR,Markakis · BAL,,
2013 AL,Dickey · TOR,Perez · KCR,Hosmer · KCR,Pedroia · BOS,Machado · BAL,Hardy · BAL,Victorino · BOS,Gordon · KCR,Jones · BAL,,
2012 AL,Hellickson · TBR,Wieters · BAL,Teixeira · NYY,Canó · NYY,Beltré · TEX,Hardy · BAL,Reddick · OAK,Gordon · KCR,Jones · BAL,Peavy (P) · CHW,
2011 AL,Buehrle · CHW,Wieters · BAL,González · BOS,Pedroia · BOS,Beltré · TEX,Aybar · LAA,Markakis · BAL,Ellsbury · BOS,Gordon · KCR,,
2010 AL,Buehrle · CHW,Mauer · MIN,Teixeira · NYY,Canó · NYY,Longoria · TBR,Jeter · NYY,Suzuki · SEA,Gutiérrez · SEA,Crawford · TBR,,
