Rk,Name,From,To,GS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,Name-additional
1,Henry Aaron,1955,1975,17,25,72,67,7,13,0,0,2,8,2,0,3,8,0.194,0.222,0.284,0.506,aaronha01
2,Don Aase,1986,1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,aasedo01
3,James Abernathy,1947,1947,,1,,,,,,,,,,,,,,,,,abernja01
4,CJ Abrams,2024,2024,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,abramcj01
5,Bobby Abreu,2004,2005,1,2,4,3,0,1,0,0,0,0,0,0,1,1,0.333,0.5,0.333,0.833,abreubo01
6,José Abreu,2014,2019,1,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,abreujo02
7,Ronald Acuña Jr.,2019,2023,3,4,7,7,1,1,1,0,0,0,0,0,0,4,0.143,0.143,0.286,0.429,acunaro01
8,Ace Adams,1943,1943,,1,,,,,,,,,,,,,,,,,adamsac01
9,Joe Adcock,1960,1960,2,2,5,5,1,3,1,0,0,0,0,0,0,1,0.6,0.6,0.8,1.4,adcocjo01
10,Tommie Agee,1966,1967,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ageeto01
11,Jesús Aguilar,2018,2018,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aguilje01
12,Rick Aguilera,1991,1993,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,aguilri01
13,Hank Aguirre,1962,1962,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,aguirha01
14,Ozzie Albies,2018,2023,0,3,5,5,0,1,1,0,0,0,0,0,0,1,0.2,0.2,0.4,0.6,albieoz01
15,Sandy Alcantara,2019,2022,,2,,,,,,,,,,,,,,,,,alcansa01
16,Doyle Alexander,1988,1988,,1,,,,,,,,,,,,,,,,,alexado01
17,Edgardo Alfonzo,2000,2000,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,alfoned01
18,Dick Allen,1965,1974,5,7,17,16,1,3,0,0,1,2,0,0,1,7,0.188,0.235,0.375,0.61,allendi01
19,Johnny Allen,1938,1938,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allenjo02
20,Newt Allen,1933,1941,,5,,,,,,,,,,,,,,,,,allenne02
21,Gene Alley,1967,1968,1,2,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,alleyge01
22,Bob Allison,1959,1964,1,3,5,4,0,0,0,0,0,0,0,0,1,3,0,0.2,0,0.2,allisbo01
23,Roberto Alomar,1990,2001,9,12,32,30,5,7,0,0,2,3,5,0,2,1,0.233,0.281,0.433,0.715,alomaro01
24,Sandy Alomar,1970,1970,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alomasa01
