Year,League,Batting Champ
2024,AL,Bobby Witt Jr.
,NL,Luis Arráez
2023,AL,Yandy Díaz
,NL,Luis Arráez
2022,AL,Luis Arráez
,NL,Jeff McNeil
2021,AL,Yuli Gurriel
,NL,Trea Turner
2020,AL,DJ LeMahieu
,NL,Juan Soto
2019,AL,Tim Anderson
,NL,Christian Yelich
2018,AL,Mookie Betts
,NL,Christian Yelich
2017,AL,Jose Altuve
,NL,Charlie Blackmon
2016,AL,Jose Altuve
,NL,DJ LeMahieu
2015,AL,Miguel Cabrera
,NL,Dee Strange-Gordon
2014,AL,Jose Altuve
,NL,Justin Morneau
2013,AL,Miguel Cabrera
,NL,Michael Cuddyer
2012,AL,Miguel Cabrera
,NL,Buster Posey
2011,AL,Miguel Cabrera
,NL,José Reyes
2010,AL,Josh Hamilton
,NL,Carlos González
Year,League,Batting Champ
2009,AL,Joe Mauer
,NL,Hanley Ramírez
2008,AL,Joe Mauer
,NL,Chipper Jones
2007,AL,Magglio Ordóñez
,NL,Matt Holliday
2006,AL,Joe Mauer
,NL,Freddy Sanchez
2005,AL,Michael Young
,NL,Derrek Lee
2004,AL,Ichiro Suzuki
,NL,Barry Bonds
2003,AL,Bill Mueller
,NL,Albert Pujols
2002,AL,Manny Ramirez
,NL,Barry Bonds
2001,AL,Ichiro Suzuki
,NL,Larry Walker
2000,AL,Nomar Garciaparra
,NL,Todd Helton
1999,AL,Nomar Garciaparra
,NL,Larry Walker
1998,AL,Bernie Williams
,NL,Larry Walker
1997,AL,Frank Thomas
,NL,Tony Gwynn
1996,AL,Alex Rodriguez
,NL,Tony Gwynn
1995,AL,Edgar Martínez
,NL,Tony Gwynn
Year,League,Batting Champ
1994,AL,Paul O'Neill
,NL,Tony Gwynn
1993,AL,John Olerud
,NL,Andrés Galarraga
1992,AL,Edgar Martínez
,NL,Gary Sheffield
1991,AL,Julio Franco
,NL,Terry Pendleton
1990,AL,George Brett
,NL,Willie McGee
1989,AL,Kirby Puckett
,NL,Tony Gwynn
1988,AL,Wade Boggs
,NL,Tony Gwynn
1987,AL,Wade Boggs
,NL,Tony Gwynn
1986,AL,Wade Boggs
,NL,Tim Raines
1985,AL,Wade Boggs
,NL,Willie McGee
1984,AL,Don Mattingly
,NL,Tony Gwynn
1983,AL,Wade Boggs
,NL,Bill Madlock
1982,AL,Willie Wilson
,NL,Al Oliver
1981,AL,Carney Lansford
,NL,Bill Madlock
1980,AL,George Brett
,NL,Bill Buckner
Year,League,Batting Champ
1979,AL,Fred Lynn
,NL,Keith Hernandez
1978,AL,Rod Carew
,NL,Dave Parker
1977,AL,Rod Carew
,NL,Dave Parker
1976,AL,George Brett
,NL,Bill Madlock
1975,AL,Rod Carew
,NL,Bill Madlock
1974,AL,Rod Carew
,NL,Ralph Garr
1973,AL,Rod Carew
,NL,Pete Rose
1972,AL,Rod Carew
,NL,Billy Williams
1971,AL,Tony Oliva
,NL,Joe Torre
1970,AL,Alex Johnson
,NL,Rico Carty
1969,AL,Rod Carew
,NL,Pete Rose
1968,AL,Carl Yastrzemski
,NL,Pete Rose
1967,AL,Carl Yastrzemski
,NL,Roberto Clemente
1966,AL,Frank Robinson
,NL,Matty Alou
1965,AL,Tony Oliva
,NL,Roberto Clemente
Year,League,Batting Champ
1964,AL,Tony Oliva
,NL,Roberto Clemente
1963,AL,Carl Yastrzemski
,NL,Tommy Davis
1962,AL,Pete Runnels
,NL,Tommy Davis
1961,AL,Norm Cash
,NL,Roberto Clemente
1960,AL,Pete Runnels
,NL,Dick Groat
1959,AL,Harvey Kuenn
,NL,Henry Aaron
1958,AL,Ted Williams
,NL,Richie Ashburn
1957,AL,Ted Williams
,NL,Stan Musial
1956,AL,Mickey Mantle
,NL,Henry Aaron
1955,AL,Al Kaline
,NL,Richie Ashburn
1954,AL,Bobby Ávila
,NL,Willie Mays
1953,AL,Mickey Vernon
,NL,Carl Furillo
1952,AL,Ferris Fain
,NL,Stan Musial
1951,AL,Ferris Fain
,NL,Stan Musial
1950,AL,Billy Goodman
,NL,Stan Musial
Year,League,Batting Champ
1949,AL,George Kell
,NL,Jackie Robinson
1948,AL,Ted Williams
,NAL,Artie Wilson
,NL,Stan Musial
,NN2,Lester Lockett
1947,AL,Ted Williams
,NAL,Willard Brown
,NL,Harry Walker
,NN2,Henry Kimbro
1946,AL,Mickey Vernon
,NAL,Ted Strong
,NL,Stan Musial
,NN2,Monte Irvin
1945,AL,Snuffy Stirnweiss
,NAL,Ed Steele
,NL,Phil Cavarretta
,NN2,Frankie Austin
1944,AL,Lou Boudreau
,NAL,Jesse Douglas
,NL,Dixie Walker
,NN2,Roy Campanella
1943,AL,Luke Appling
,NAL,Alex Radcliff
,NL,Stan Musial
,NN2,Tetelo Vargas
1942,AL,Ted Williams
,NAL,Ted Strong
,NL,Ernie Lombardi
,NN2,Lennie Pearson
Year,League,Batting Champ
1941,AL,Ted Williams
,NAL,Lyman Bostock
,NL,Pete Reiser
,NN2,Monte Irvin
1940,AL,Joe DiMaggio
,NAL,Ed Mayweather
,NL,Debs Garms
,NN2,Monte Irvin
1939,AL,Joe DiMaggio
,NAL,Henry Turner
,NL,Johnny Mize
,NN2,Josh Gibson
1938,AL,Jimmie Foxx
,NAL,David Whatley
,NL,Ernie Lombardi
,NN2,Buck Leonard
1937,AL,Charlie Gehringer
,NAL,Bill Carter
,NL,Joe Medwick
,NN2,Josh Gibson
1936,AL,Luke Appling
,NL,Paul Waner
,NN2,Josh Gibson
1935,AL,Buddy Myer
,NL,Arky Vaughan
,NN2,Buck Leonard
1934,AL,Lou Gehrig
,NL,Paul Waner
,NN2,Buddy Burbage
1933,AL,Jimmie Foxx
Year,League,Batting Champ
,NL,Chuck Klein
,NN2,Jabbo Andrews
1932,AL,Dale Alexander
,EWL,Dick Lundy
,NL,Lefty O'Doul
,NSL,Leroy Morney
1931,AL,Al Simmons
,NL,Chick Hafey
,NNL,Turkey Stearnes
1930,AL,Al Simmons
,NL,Bill Terry
,NNL,Willie Wells
1929,AL,Lew Fonseca
,ANL,Charlie Smith
,NL,Lefty O'Doul
,NNL,Turkey Stearnes
1928,AL,Goose Goslin
,ECL,Jud Wilson
,NL,Rogers Hornsby
,NNL,Mule Suttles
1927,AL,Harry Heilmann
,ECL,Jud Wilson
