Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team
1,Babe Ruth,162.2,1914,1935,19-40,2503,10628,8399,2174,2873,1517,506,136,714,2214,123,116,2062,1330,0.342,0.474,0.69,1.164,206,5793,2,43,114,,79,162.2,124.7,154.5,-2.3,1327,0,-9,-8,79,*9718H3,"BOS,BSN,NYY"
2,Willie Mays,156.1,1948,1973,17-42,3005,12545,10924,2068,3293,1967,525,141,660,1909,339,103,1468,1526,0.301,0.384,0.557,0.94,155,6080,251,45,13,91,214,156.1,109.9,136.6,18.2,804,-9,79,70,185,*8H79/365,"BBB,NYG,NYM,SFG"
3,Ty Cobb,151.4,1905,1928,18-41,3034,13103,11440,2245,4189,3053,724,295,117,1944,897,215,1249,680,0.366,0.433,0.512,0.944,168,5854,,94,292,,9,151.4,101.8,151.6,-10.8,995,0,54,54,0,*89H73/415,"DET,PHA"
4,Henry Aaron,143.2,1954,1976,20-42,3298,13941,12364,2174,3771,2294,624,98,755,2297,240,73,1402,1383,0.305,0.374,0.555,0.928,155,6856,328,32,21,121,293,143.2,93,132.7,-4.6,878,-11,44,33,98,*9837H4/5,"ATL,MIL,MLN"
5,Tris Speaker,135,1907,1928,19-40,2789,12021,10195,1882,3514,2383,792,222,117,1531,436,158,1381,393,0.345,0.428,0.5,0.928,158,5101,,103,309,,4,135,88.9,125.1,2.5,823,0,4,4,92,*8H/9137,"BOS,CLE,PHA,WSH"
6,Honus Wagner,131,1897,1917,23-43,2794,11766,10439,1739,3420,2424,643,252,101,1732,723,26,963,735,0.328,0.391,0.467,0.858,151,4870,,125,221,,,131,91.9,123.4,21.3,639,0,34,34,85,6O53947H8/1,"LOU,PIT"
7,Stan Musial,128.6,1941,1963,20-42,3026,12721,10972,1949,3630,2253,725,177,475,1951,78,71,1599,696,0.331,0.417,0.559,0.976,159,6134,243,53,35,53,298,128.6,81.8,125.2,-9.2,868,18,9,27,50,3978H/1,STL
8,Rogers Hornsby,127.1,1915,1937,19-41,2259,9481,8173,1579,2930,1919,541,169,301,1584,135,81,1038,679,0.358,0.434,0.577,1.01,175,4712,3,48,216,,54,127.1,96.9,121.9,13.9,855,0,-9,-8,54,465H39/78,"BSN,CHC,NYG,SLB,STL"
9,Eddie Collins,124.3,1906,1930,19-43,2826,12087,9949,1821,3315,2643,438,187,47,1299,741,196,1499,467,0.333,0.424,0.429,0.853,142,4268,,77,512,,15,124.3,78.6,120.2,8.1,626,0,40,40,35,*4H6/8975,"CHW,PHA"
10,Ted Williams,121.8,1939,1960,20-41,2292,9792,7706,1798,2654,1537,525,71,521,1839,24,17,2021,709,0.344,0.482,0.634,1.116,191,4884,197,39,5,20,258,121.8,92.6,125.1,-13.3,1050,8,4,12,-32,*79H/1,BOS
11,Lou Gehrig,113.7,1923,1939,20-36,2164,9665,8001,1888,2721,1531,534,163,493,1995,102,102,1508,790,0.34,0.447,0.632,1.08,179,5060,2,45,107,,114,113.7,78.9,113.6,-9,957,19,-5,14,2,*3H/976,NYY
12,Rickey Henderson,111.2,1979,2003,20-44,3081,13346,10961,2295,3055,2182,510,66,297,1115,1406,335,2190,1694,0.279,0.401,0.419,0.82,127,4588,172,98,30,67,61,111.2,68.9,105.2,-2.3,555,3,144,147,65,*78DH/9,"ANA,BOS,LAD,NYM,NYY,OAK,SDP,SEA,TOR"
13,Mel Ott,111,1926,1947,17-38,2730,11347,9456,1859,2876,1805,488,72,511,1860,89,95,1708,896,0.304,0.414,0.533,0.947,155,5041,82,64,110,,129,111,73,106.9,-6,766,17,12,29,50,*95H87/4,NYG
14,Mickey Mantle,110.2,1951,1968,19-36,2401,9910,8102,1676,2415,1463,344,72,536,1509,153,38,1733,1710,0.298,0.421,0.557,0.977,172,4511,113,13,14,47,148,110.2,79.4,116.3,-9.6,802,12,51,63,-37,*8397H/645,NYY
15,Frank Robinson,107.3,1956,1976,20-40,2808,11744,10006,1829,2943,1757,528,72,586,1812,204,77,1420,1532,0.294,0.389,0.537,0.926,154,5373,270,198,17,102,218,107.3,64.7,106.9,-14.8,729,-25,35,9,22,*973D8H5,"BAL,CAL,CIN,CLE,LAD"
16,Nap Lajoie,106.9,1896,1916,21-41,2480,10471,9590,1504,3243,2341,657,163,82,1599,380,26,516,347,0.338,0.38,0.466,0.846,150,4472,,134,221,,,106.9,67.4,97.8,10.1,571,0,-11,-11,83,436HO5,"CLE,PHA,PHI"
