Year & Common,P,C,1B,2B,3B,SS,OF,OF,OF,Utility,Team
2024 NL,Sale · ATL,Bailey · SFG,Walker · ARI,Turang · MIL,Chapman · SFG,Tovar · COL,Frelick · MIL,Doyle · COL,Happ · CHC,Triolo · PIT,Milwaukee Brewers
2023 NL,Wheeler · PHI,Moreno · ARI,Walker · ARI,Hoerner · CHC,Hayes · PIT,Swanson · CHC,Tatís · SDP,Doyle · COL,Happ · CHC,Kim · SDP,Milwaukee Brewers
2022 NL,Fried · ATL,Realmuto · PHI,Walker · ARI,Rodgers · COL,Arenado · STL,Swanson · ATL,Happ · CHC,Betts · LAD,Grisham · SDP,Donovan · STL,St. Louis Cardinals
2021 NL,Fried · ATL,Stallings · PIT,Goldschmidt · STL,Edman · STL,Arenado · STL,Crawford · SFG,Bader · STL,Duvall · 2tm,O'Neill · STL,,St. Louis Cardinals
2020 NL,Fried · ATL,Barnhart · CIN,Rizzo · CHC,Wong · STL,Arenado · COL,Báez · CHC,Betts · LAD,Grisham · SDP,O'Neill · STL,,Chicago Cubs
2019 NL,Greinke · ARI,Realmuto · PHI,Rizzo · CHC,Wong · STL,Arenado · COL,Ahmed · ARI,Bellinger · LAD,Cain · MIL,Peralta · ARI,,
2018 NL,Greinke · ARI,Molina · STL,Rizzo · CHC,LeMahieu · COL,Arenado · COL,Ahmed · ARI,Inciarte · ATL,Dickerson · PIT,Markakis · ATL,Freeman (1B) · ATL,
2017 NL,Greinke · ARI,Barnhart · CIN,Goldschmidt · ARI,LeMahieu · COL,Arenado · COL,Crawford · SFG,Heyward · CHC,Ozuna · MIA,Inciarte · ATL,,
2016 NL,Greinke · ARI,Posey · SFG,Rizzo · CHC,Panik · SFG,Arenado · COL,Crawford · SFG,Marte · PIT,Heyward · CHC,Inciarte · ATL,,
2015 NL,Greinke · LAD,Molina · STL,Goldschmidt · ARI,Strange-Gordon · MIA,Arenado · COL,Crawford · SFG,Marte · PIT,Pollock · ARI,Heyward · STL,,
2014 NL,Greinke · LAD,Molina · STL,González · LAD,LeMahieu · COL,Arenado · COL,Simmons · ATL,Lagares · NYM,Yelich · MIA,Heyward · ATL,,
2013 NL,Wainwright · STL,Molina · STL,Goldschmidt · ARI,Phillips · CIN,Arenado · COL,Simmons · ATL,Parra · ARI,Gómez · MIL,González · COL,,
2012 NL,Buehrle · MIA,Molina · STL,LaRoche · WSN,Barney · CHC,Headley · SDP,Rollins · PHI,González · COL,Heyward · ATL,McCutchen · PIT,,
2011 NL,Kershaw · LAD,Molina · STL,Votto · CIN,Phillips · CIN,Polanco · PHI,Tulowitzki · COL,Ethier · LAD,Parra · ARI,Kemp · LAD,,
2010 NL,Arroyo · CIN,Molina · STL,Pujols · STL,Phillips · CIN,Rolen · CIN,Tulowitzki · COL,González · COL,Bourn · HOU,Victorino · PHI,,
2009 NL,Wainwright · STL,Molina · STL,González · SDP,Hudson · LAD,Zimmerman · WSN,Rollins · PHI,Kemp · LAD,Victorino · PHI,Bourn · HOU,,
2008 NL,Maddux · 2tm,Molina · STL,González · SDP,Phillips · CIN,Wright · NYM,Rollins · PHI,McLouth · PIT,Beltrán · NYM,Victorino · PHI,,
2007 NL,Maddux · SDP,Martin · LAD,Lee · CHC,Hudson · ARI,Wright · NYM,Rollins · PHI,Rowand · PHI,Francoeur · ATL,Beltrán · NYM,Jones (OF) · ATL,
2006 NL,Maddux · 2tm,Ausmus · HOU,Pujols · STL,Hudson · ARI,Rolen · STL,Vizquel · SFG,Jones · ATL,Beltrán · NYM,Cameron · SDP,,
2005 NL,Maddux · CHC,Matheny · SFG,Lee · CHC,Castillo · FLA,Lowell · FLA,Vizquel · SFG,Jones · ATL,Edmonds · STL,Abreu · PHI,,
