Year & Common,P,C,1B,2B,3B,SS,OF,OF,OF,DH,Utility
2024 NL,,Contreras · MIL,Harper · PHI,Marte · ARI,Machado · SDP,Lindor · NYM,Profar · SDP,Merrill · SDP,Hernández · LAD,Ohtani · LAD,Betts · LAD
2023 NL,,Contreras · MIL,Olson · ATL,Arráez · MIA,Riley · ATL,Lindor · NYM,Acuña · ATL,Soto · SDP,Betts · LAD,Harper · PHI,Bellinger · CHC
2022 NL,,Realmuto · PHI,Goldschmidt · STL,McNeil · NYM,Arenado · STL,Turner · LAD,Soto · 2tm,Schwarber · PHI,Betts · LAD,Bell · 2tm,Drury · 2tm
2021 NL,Fried · ATL,Posey · SFG,Freeman · ATL,Albies · ATL,Riley · ATL,Tatís · SDP,Harper · PHI,Castellanos · CIN,Soto · WSN,,
2020 NL,Ozuna (DH) · ATL,d'Arnaud · ATL,Freeman · ATL,Solano · SFG,Machado · SDP,Tatís · SDP,Soto · WSN,Betts · LAD,Acuña · ATL,,
2019 NL,Greinke · ARI,Realmuto · PHI,Freeman · ATL,Albies · ATL,Rendon · WSN,Story · COL,Yelich · MIL,Bellinger · LAD,Acuña · ATL,,
2018 NL,Márquez · COL,Realmuto · MIA,Goldschmidt · ARI,Báez · CHC,Arenado · COL,Story · COL,Peralta · ARI,Yelich · MIL,Markakis · ATL,,
2017 NL,Wainwright · STL,Posey · SFG,Goldschmidt · ARI,Murphy · WSN,Arenado · COL,Seager · LAD,Ozuna · MIA,Stanton · MIA,Blackmon · COL,,
2016 NL,Arrieta · CHC,Ramos · WSN,Rizzo · CHC,Murphy · WSN,Arenado · COL,Seager · LAD,Céspedes · NYM,Blackmon · COL,Yelich · MIA,,
2015 NL,Bumgarner · SFG,Posey · SFG,Goldschmidt · ARI,Strange-Gordon · MIA,Arenado · COL,Crawford · SFG,McCutchen · PIT,Harper · WSN,González · COL,,
2014 NL,Bumgarner · SFG,Posey · SFG,González · LAD,Walker · PIT,Rendon · WSN,Desmond · WSN,McCutchen · PIT,Upton · ATL,Stanton · MIA,,
2013 NL,Greinke · LAD,Molina · STL,Goldschmidt · ARI,Carpenter · STL,Álvarez · PIT,Desmond · WSN,Bruce · CIN,McCutchen · PIT,Cuddyer · COL,,
2012 NL,Strasburg · WSN,Posey · SFG,LaRoche · WSN,Hill · ARI,Headley · SDP,Desmond · WSN,McCutchen · PIT,Bruce · CIN,Braun · MIL,,
2011 NL,Hudson · ARI,McCann · ATL,Fielder · MIL,Phillips · CIN,Ramírez · CHC,Tulowitzki · COL,Upton · ARI,Braun · MIL,Kemp · LAD,,
2010 NL,Gallardo · MIL,McCann · ATL,Pujols · STL,Uggla · FLA,Zimmerman · WSN,Tulowitzki · COL,González · COL,Braun · MIL,Holliday · STL,,
2009 NL,Zambrano · CHC,McCann · ATL,Pujols · STL,Utley · PHI,Zimmerman · WSN,Ramírez · FLA,Kemp · LAD,Braun · MIL,Ethier · LAD,,
2008 NL,Zambrano · CHC,McCann · ATL,Pujols · STL,Utley · PHI,Wright · NYM,Ramírez · FLA,Holliday · COL,Braun · MIL,Ludwick · STL,,
2007 NL,Owings · ARI,Martin · LAD,Fielder · MIL,Utley · PHI,Wright · NYM,Rollins · PHI,Holliday · COL,Lee · HOU,Beltrán · NYM,,
2006 NL,Zambrano · CHC,McCann · ATL,Howard · PHI,Utley · PHI,Cabrera · FLA,Reyes · NYM,Soriano · WSN,Beltrán · NYM,Holliday · COL,,
2005 NL,Marquis · STL,Barrett · CHC,Lee · CHC,Kent · LAD,Ensberg · HOU,López · CIN,Cabrera · FLA,Jones · ATL,Lee · MIL,,
2004 NL,Hernández · MON,Estrada · ATL,Pujols · STL,Loretta · SDP,Beltré · LAD,Wilson · PIT,Edmonds · STL,Abreu · PHI,Bonds · SFG,,
2003 NL,Hampton · ATL,López · ATL,Helton · COL,Vidro · MON,Lowell · FLA,Rentería · STL,Sheffield · ATL,Bonds · SFG,Pujols · STL,,
2002 NL,Hampton · COL,Piazza · NYM,Helton · COL,Kent · SFG,Rolen · 2tm,Rentería · STL,Guerrero · MON,Sosa · CHC,Bonds · SFG,,
