Year,Lg,Name,Tm
2024,AL,Luis Gil,NYY
2024,NL,Paul Skenes,PIT
2023,AL,Gunnar Henderson,BAL
2023,NL,Corbin Carroll,ARI
2022,AL,Julio Rodríguez,SEA
2022,NL,Michael Harris II,ATL
2021,AL,Randy Arozarena,TBR
2021,NL,Jonathan India,CIN
2020,AL,Kyle Lewis,SEA
2020,NL,Devin Williams,MIL
2019,AL,Yordan Alvarez,HOU
2019,NL,Pete Alonso,NYM
2018,AL,Shohei Ohtani,LAA
2018,NL,Ronald Acuña Jr.,ATL
2017,AL,Aaron Judge,NYY
2017,NL,Cody Bellinger,LAD
2016,AL,Michael Fulmer,DET
2016,NL,Corey Seager,LAD
2015,AL,Carlos Correa,HOU
2015,NL,Kris Bryant,CHC
2014,AL,José Abreu,CHW
2014,NL,Jacob deGrom,NYM
2013,AL,Wil Myers,TBR
2013,NL,José Fernández,MIA
2012,AL,Mike Trout,LAA
2012,NL,Bryce Harper,WSN
2011,AL,Jeremy Hellickson,TBR
2011,NL,Craig Kimbrel,ATL
2010,AL,Neftalí Feliz,TEX
2010,NL,Buster Posey,SFG
2009,AL,Andrew Bailey,OAK
2009,NL,Chris Coghlan,FLA
2008,AL,Evan Longoria,TBR
2008,NL,Geovany Soto,CHC
2007,AL,Dustin Pedroia,BOS
2007,NL,Ryan Braun,MIL
2006,AL,Justin Verlander,DET
2006,NL,Hanley Ramírez,FLA
2005,AL,Huston Street,OAK
2005,NL,Ryan Howard,PHI
2004,AL,Bobby Crosby,OAK
2004,NL,Jason Bay,PIT
2003,AL,Ángel Berroa,KCR
2003,NL,Dontrelle Willis,FLA
2002,AL,Eric Hinske,TOR
2002,NL,Jason Jennings,COL
2001,AL,Ichiro Suzuki,SEA
2001,NL,Albert Pujols,STL
2000,AL,Kazuhiro Sasaki,SEA
2000,NL,Rafael Furcal,ATL
1999,AL,Carlos Beltrán,KCR
1999,NL,Scott Williamson,CIN
1998,AL,Ben Grieve,OAK
1998,NL,Kerry Wood,CHC
1997,AL,Nomar Garciaparra,BOS
1997,NL,Scott Rolen,PHI
1996,AL,Derek Jeter,NYY
1996,NL,Todd Hollandsworth,LAD
1995,AL,Marty Cordova,MIN
1995,NL,Hideo Nomo,LAD
1994,AL,Bob Hamelin,KCR
1994,NL,Raúl Mondesí,LAD
1993,AL,Tim Salmon,CAL
1993,NL,Mike Piazza,LAD
1992,AL,Pat Listach,MIL
1992,NL,Eric Karros,LAD
1991,AL,Chuck Knoblauch,MIN
1991,NL,Jeff Bagwell,HOU
1990,AL,Sandy Alomar,CLE
1990,NL,David Justice,ATL
1989,AL,Gregg Olson,BAL
1989,NL,Jerome Walton,CHC
1988,AL,Walt Weiss,OAK
1988,NL,Chris Sabo,CIN
1987,AL,Mark McGwire,OAK
1987,NL,Benito Santiago,SDP
1986,AL,José Canseco,OAK
1986,NL,Todd Worrell,STL
1985,AL,Ozzie Guillén,CHW
1985,NL,Vince Coleman,STL
1984,AL,Alvin Davis,SEA
1984,NL,Dwight Gooden,NYM
1983,AL,Ron Kittle,CHW
1983,NL,Darryl Strawberry,NYM
1982,AL,Cal Ripken Jr.,BAL
1982,NL,Steve Sax,LAD
1981,AL,Dave Righetti,NYY
1981,NL,Fernando Valenzuela,LAD
1980,AL,Joe Charboneau,CLE
1980,NL,Steve Howe,LAD
1979,AL,John Castino,MIN
1979,AL,Alfredo Griffin,TOR
1979,NL,Rick Sutcliffe,LAD
1978,AL,Lou Whitaker,DET
1978,NL,Bob Horner,ATL
1977,AL,Eddie Murray,BAL
1977,NL,Andre Dawson,MON
1976,AL,Mark Fidrych,DET
1976,NL,Butch Metzger,SDP
1976,NL,Pat Zachry,CIN
1975,AL,Fred Lynn,BOS
1975,NL,John Montefusco,SFG
1974,AL,Mike Hargrove,TEX
1974,NL,Bake McBride,STL
1973,AL,Al Bumbry,BAL
1973,NL,Gary Matthews,SFG
1972,AL,Carlton Fisk,BOS
1972,NL,Jon Matlack,NYM
1971,AL,Chris Chambliss,CLE
1971,NL,Earl Williams,ATL
1970,AL,Thurman Munson,NYY
1970,NL,Carl Morton,MON
1969,AL,Lou Piniella,KCR
1969,NL,Ted Sizemore,LAD
1968,AL,Stan Bahnsen,NYY
1968,NL,Johnny Bench,CIN
1967,AL,Rod Carew,MIN
1967,NL,Tom Seaver,NYM
1966,AL,Tommie Agee,CHW
1966,NL,Tommy Helms,CIN
1965,AL,Curt Blefary,BAL
1965,NL,Jim Lefebvre,LAD
1964,AL,Tony Oliva,MIN
1964,NL,Dick Allen,PHI
1963,AL,Gary Peters,CHW
1963,NL,Pete Rose,CIN
1962,AL,Tom Tresh,NYY
1962,NL,Ken Hubbs,CHC
1961,AL,Don Schwall,BOS
1961,NL,Billy Williams,CHC
1960,AL,Ron Hansen,BAL
1960,NL,Frank Howard,LAD
1959,AL,Bob Allison,WSH
1959,NL,Willie McCovey,SFG
1958,AL,Albie Pearson,WSH
1958,NL,Orlando Cepeda,SFG
1957,AL,Tony Kubek,NYY
1957,NL,Jack Sanford,PHI
1956,AL,Luis Aparicio,CHW
1956,NL,Frank Robinson,CIN
1955,AL,Herb Score,CLE
1955,NL,Bill Virdon,STL
1954,AL,Bob Grim,NYY
1954,NL,Wally Moon,STL
1953,AL,Harvey Kuenn,DET
1953,NL,Jim Gilliam,BRO
1952,AL,Harry Byrd,PHA
1952,NL,Joe Black,BRO
1951,AL,Gil McDougald,NYY
1951,NL,Willie Mays,NYG
1950,AL,Walt Dropo,BOS
1950,NL,Sam Jethroe,BSN
1949,AL,Roy Sievers,SLB
1949,NL,Don Newcombe,BRO
1948,ML,Al Dark,BSN
1947,ML,Jackie Robinson,BRO
