Year,Willie Mays World Series MVP
2024,Freddie Freeman S
2023,Corey Seager S
2022,Jeremy Peña S
2021,Jorge Soler S
2020,Corey Seager S
2019,Stephen Strasburg S
2018,Steve Pearce S
2017,George Springer S
2016,Ben Zobrist S
2015,Salvador Perez S
2014,Madison Bumgarner S
2013,David Ortiz S
2012,Pablo Sandoval S
2011,David Freese S
2010,Édgar Rentería S
2009,Hideki Matsui S
2008,Cole Hamels S
2007,Mike Lowell S
2006,David Eckstein S
2005,Jermaine Dye S
2004,Manny Ramirez S
2003,Josh Beckett S
2002,Troy Glaus S
2001,Randy Johnson S
2001,Curt Schilling S
2000,Derek Jeter S
1999,Mariano Rivera S
1998,Scott Brosius S
1997,Liván Hernández S
1996,John Wetteland S
1995,Tom Glavine S
1993,Paul Molitor S
1992,Pat Borders S
1991,Jack Morris S
1990,José Rijo S
1989,Dave Stewart S
1988,Orel Hershiser S
1987,Frank Viola S
1986,Ray Knight S
1985,Bret Saberhagen S
1984,Alan Trammell S
1983,Rick Dempsey S
1982,Darrell Porter S
1981,Ron Cey S
1981,Pedro Guerrero S
1981,Steve Yeager S
1980,Mike Schmidt S
1979,Willie Stargell S
1978,Bucky Dent S
1977,Reggie Jackson S
1976,Johnny Bench S
1975,Pete Rose S
1974,Rollie Fingers S
1973,Reggie Jackson S
1972,Gene Tenace S
1971,Roberto Clemente S
1970,Brooks Robinson S
1969,Donn Clendenon S
1968,Mickey Lolich S
1967,Bob Gibson S
1966,Frank Robinson S
1965,Sandy Koufax S
1964,Bob Gibson S
1963,Sandy Koufax S
1962,Ralph Terry S
1961,Whitey Ford S
1960,Bobby Richardson S
1959,Larry Sherry S
1958,Bob Turley S
1957,Lew Burdette S
1956,Don Larsen S
1955,Johnny Podres S
