Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Christian Yelich,21,32,532,12,1466,5535,945,1590,1045,306,35,204,748,545,205,36,770,1381,2578,117,45,5,26,54,42.0,3.5,8.2,0.287,0.429,0.466,0.895,3,1,3,0,1,0,7,4,2,5,1,active
Mike Yastrzemski,28,33,430,6,694,2274,365,543,281,134,22,106,318,262,18,10,257,657,1039,22,30,6,14,11,14.2,2.4,6.5,0.239,0.358,0.457,0.815,0,0,0,0,0,0,9,6,0,0,0,active
Austin Wynns,27,33,97,4,142,361,41,92,70,14,0,8,39,22,0,0,18,82,130,18,4,5,1,0,1.4,0.4,1.0,0.255,0.311,0.36,0.671,0,0,0,0,0,0,2,4,0,0,0,active
Jesse Winker,23,30,338,6,558,1742,277,487,302,102,3,80,248,185,17,7,246,357,835,47,34,4,5,9,7.300000000000001,1.2,6.0,0.28,0.431,0.479,0.91,1,0,0,0,0,0,7,5,0,1,0,active
Taylor Ward,26,30,395,5,487,1738,255,451,288,87,6,70,225,163,18,10,190,446,760,30,25,2,20,0,8.2,1.6,7.5,0.259,0.374,0.437,0.811,0,0,0,0,0,0,9,4,0,1,0,active
Taylor Walls,24,27,311,4,379,1080,145,203,133,45,7,18,98,70,52,10,150,328,316,13,3,4,5,0,7.300000000000001,1.8,5.9,0.188,0.327,0.293,0.62,0,0,0,0,0,0,6,4,0,0,0,active
Chad Wallach,26,31,82,4,114,294,30,61,38,12,1,10,29,23,0,1,26,104,105,6,2,4,0,0,0.4,0.1,0.4,0.207,0.301,0.357,0.658,0,0,0,0,0,0,2,3,0,1,0,active
Christian Walker,26,33,455,7,782,2804,420,708,403,155,7,143,436,305,24,6,311,707,1306,65,41,0,29,16,15.6,2.2,11.3,0.252,0.369,0.466,0.835,0,3,0,0,0,0,3,2,0,5,0,active
LaMonte Wade Jr.,25,30,278,6,480,1408,203,346,227,59,7,53,167,119,12,4,212,343,578,9,23,11,11,9,6.4,1.1,5.0,0.246,0.403,0.411,0.814,0,0,0,0,0,0,3,4,0,2,0,active
Alex Verdugo,22,28,451,7,785,2863,408,780,520,180,11,69,315,260,22,10,238,476,1189,66,18,3,33,11,12.100000000000001,1.7,4.4,0.272,0.356,0.415,0.771,0,0,0,0,0,0,7,4,0,3,0,active
Andrew Velazquez,23,27,126,4,206,462,62,91,65,14,2,10,37,26,26,4,27,168,139,6,4,10,3,0,1.9,0.5,1.6,0.197,0.26,0.301,0.561,0,0,0,0,0,0,6,4,0,0,0,active
Vince Velasquez,25,29,34,4,103,117,5,24,22,1,0,1,8,2,0,0,5,33,28,4,0,14,0,0,0.8,0.2,0.7,0.205,0.248,0.239,0.487,0,0,0,0,0,0,1,4,0,0,0,active
Christian Vázquez,23,31,363,6,596,2010,238,545,382,108,4,51,248,163,24,15,140,394,814,66,8,7,15,4,8.200000000000001,1.4,4.2,0.271,0.341,0.405,0.746,0,0,0,0,0,0,2,5,0,1,0,active
Daulton Varsho,23,27,423,5,577,1902,274,428,243,89,17,79,240,185,51,16,181,517,788,20,17,5,9,4,15.200000000000001,3.0,13.5,0.225,0.325,0.414,0.739,0,1,0,0,0,0,8,4,0,1,0,active
Ildemaro Vargas,25,31,150,5,267,704,82,183,128,36,4,15,86,55,6,2,37,74,272,24,4,4,3,0,3.0,0.6,2.9,0.26,0.315,0.386,0.701,0,0,0,0,0,0,5,5,0,0,0,active
Gio Urshela,27,32,389,6,625,2160,256,611,422,117,7,65,293,189,7,3,137,425,937,78,11,0,24,4,10.799999999999999,1.8,4.3,0.283,0.346,0.434,0.78,0,0,0,0,0,0,5,3,0,3,0,active
Ramón Urías,26,30,293,5,429,1322,170,346,237,64,6,39,171,109,6,4,110,336,539,21,24,3,6,1,9.2,1.8,7.1,0.262,0.355,0.408,0.763,0,1,0,0,0,0,5,3,0,2,0,active
Luis Urías,21,27,262,6,434,1362,185,321,206,62,4,49,178,115,9,6,160,347,538,32,38,1,9,3,7.7,1.3,6.7,0.236,0.368,0.395,0.763,0,0,0,0,0,0,5,6,0,0,0,active
Trea Turner,22,31,497,10,1125,4568,776,1352,889,251,41,171,572,463,279,46,340,921,2198,76,36,2,19,10,36.4,3.6,11.7,0.296,0.374,0.481,0.855,3,0,1,0,0,0,6,5,1,4,0,active
Justin Turner,24,39,420,15,1669,5523,796,1579,1026,346,9,198,814,553,45,13,571,972,2537,143,135,5,59,18,39.3,2.6,5.9,0.286,0.4,0.459,0.859,2,0,0,0,0,0,5,9,0,6,0,active
Kyle Tucker,22,27,415,6,605,2177,355,606,333,133,15,125,413,273,93,12,270,397,1144,40,7,0,20,24,23.7,4.0,15.7,0.278,0.401,0.525,0.926,2,1,1,0,0,0,9,4,1,1,0,active
Mike Trout,19,32,475,14,1518,5511,1123,1648,905,311,54,378,954,743,212,38,980,1485,3201,68,100,0,55,120,86.00000000000001,6.1,10.1,0.299,0.481,0.581,1.062,7,0,9,0,3,0,8,5,6,0,3,active
Jose Trevino,26,31,211,6,396,1182,131,279,194,52,1,32,138,85,4,2,61,224,429,43,7,6,10,1,3.9,0.6,3.4,0.236,0.289,0.363,0.652,1,1,0,0,0,0,2,5,0,1,0,active
Gleyber Torres,21,27,525,7,888,3281,460,870,574,154,4,138,441,296,53,24,333,746,1446,72,20,7,32,9,15.8,2.3,8.8,0.265,0.367,0.441,0.808,1,0,0,0,0,0,4,5,0,2,0,active
