Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Adam Jones,20,33,537,14,1823,7009,963,1939,1292,336,29,282,945.0,647,97.0,35.0,340,1395.0,3179,190.0,103.0,8.0,55.0,20.0,32.4,2.3,2.4,0.277,0.332,0.454,0.786,5,4,1,0,0,0,8,9,1,4,0,retired
Adrian Beltré,19,39,578,21,2933,11068,1524,3166,2015,636,38,477,1707.0,1151,121.0,42.0,848,1732.0,5309,279.0,97.0,14.0,103.0,112.0,93.89999999999999,4.5,12.0,0.286,0.365,0.48,0.845,4,5,4,0,0,0,5,13,4,4,0,hof
Adrián González,22,36,536,15,1929,7139,997,2050,1284,437,12,317,1202.0,766,6.0,7.0,782,1401.0,3462,207.0,45.0,4.0,73.0,158.0,43.699999999999996,2.9,0.6,0.287,0.396,0.485,0.881,0,4,2,0,0,0,3,11,2,2,0,retired
Al Kaline,19,39,551,21,2804,10088,1613,3000,2029,498,75,398,1580.0,971,136.0,65.0,1276,1015.0,4842,270.0,54.0,45.0,104.0,133.0,92.9,4.4,4.0,0.297,0.423,0.48,0.903,5,11,0,0,0,0,9,9,0,12,0,hof
Al Oliver,21,37,559,17,2272,8783,1168,2676,1868,518,76,214,1295.0,808,83.0,64.0,523,732.0,3988,243.0,81.0,17.0,94.0,117.0,44.8,2.6,5.8,0.305,0.366,0.454,0.82,7,0,3,0,0,0,8,10,3,4,0,retired
Alan Trammell,20,37,507,18,2208,8052,1209,2312,1663,410,55,184,987.0,649,230.0,109.0,836,835.0,3384,152.0,37.0,122.0,73.0,48.0,72.5,4.0,5.2,0.287,0.39,0.42,0.81,4,4,3,0,0,1,6,10,4,4,0,hof
Albert Belle,22,33,556,12,1539,5853,974,1726,935,389,21,381,1239.0,791,88.0,41.0,683,961.0,3300,193.0,55.0,4.0,78.0,91.0,40.1,3.3,11.1,0.295,0.412,0.564,0.976,4,0,5,0,0,0,7,7,5,0,0,retired
Albert Pujols,21,42,591,21,2931,10828,1861,3241,1876,669,16,680,2117.0,1365,114.0,43.0,1336,1311.0,5982,400.0,121.0,1.0,119.0,311.0,103.3,4.9,1.4,0.299,0.424,0.552,0.976,10,2,6,0,3,0,3,11,4,3,3,retired
Alex Gordon,23,36,518,14,1753,6391,867,1643,1070,357,26,190,749.0,573,113.0,45.0,684,1535.0,2622,110.0,121.0,8.0,43.0,48.0,34.99999999999999,2.5,3.4,0.257,0.373,0.41,0.783,1,8,0,0,0,0,7,6,0,8,0,retired
Alfonso Soriano,23,37,545,14,1791,7047,1066,1930,1073,441,30,386,1081.0,857,279.0,82.0,450,1614.0,3589,113.0,81.0,9.0,48.0,61.0,31.4,2.2,4.8,0.274,0.343,0.509,0.852,6,0,4,0,0,0,7,8,4,2,0,retired
Amos Otis,20,37,485,17,1998,7299,1092,2020,1387,374,66,193,1007.0,633,341.0,93.0,757,1008.0,3105,158.0,33.0,54.0,103.0,53.0,42.900000000000006,2.5,-0.2,0.277,0.378,0.425,0.803,4,3,0,0,0,0,8,12,0,5,0,retired
Andre Dawson,22,37,598,16,2286,8805,1250,2484,1552,440,93,399,1418.0,932,309.0,104.0,547,1336.0,4307,176.0,85.0,22.0,107.0,134.0,67.8,4.2,7.9,0.282,0.346,0.489,0.835,8,8,4,0,1,0,9,5,3,7,1,hof
Andrelton Simmons,22,32,438,11,1225,4441,501,1169,875,201,23,70,444.0,294,72.0,24.0,304,461.0,1626,163.0,26.0,16.0,29.0,15.0,36.699999999999996,3.3,1.8,0.263,0.333,0.366,0.699,0,4,0,0,0,0,6,7,0,4,0,retired
Andruw Jones,19,35,527,16,2121,7390,1183,1900,1059,375,35,431,1275.0,841,152.0,58.0,864,1672.0,3638,187.0,96.0,6.0,70.0,69.0,64.2,4.0,3.0,0.257,0.379,0.492,0.871,4,9,3,0,0,0,8,7,3,6,0,retired
Andrés Galarraga,24,43,469,19,2257,8096,1195,2333,1458,444,32,399,1425.0,875,128.0,81.0,583,2003.0,4038,179.0,178.0,1.0,58.0,106.0,31.900000000000002,1.7,0.3,0.288,0.371,0.499,0.87,5,2,2,0,0,0,3,11,2,6,0,retired
Andy Van Slyke,22,34,500,13,1658,5711,835,1562,1014,293,91,164,792.0,548,245.0,59.0,667,1063.0,2529,94.0,27.0,12.0,61.0,55.0,41.4,3.2,1.7,0.274,0.389,0.443,0.832,0,0,0,0,0,0,8,13,0,0,0,retired
Anthony Rizzo,21,34,524,14,1727,6288,922,1644,981,338,22,303,965.0,663,72.0,44.0,781,1208.0,2935,149.0,222.0,0.0,45.0,75.0,40.300000000000004,2.9,3.0,0.261,0.404,0.467,0.871,3,4,1,0,0,0,3,8,1,5,0,retired
Aramis Ramírez,21,37,509,16,1980,7363,1024,2122,1277,460,23,362,1322.0,845,27.0,17.0,586,1071.0,3714,213.0,115.0,2.0,75.0,55.0,35.3,2.2,1.4,0.288,0.374,0.504,0.878,0,0,1,0,0,0,5,15,1,0,0,retired
Asdrúbal Cabrera,21,35,493,15,1822,6632,886,1763,1139,401,28,195,869.0,624,91.0,32.0,589,1330.0,2805,177.0,68.0,51.0,61.0,26.0,29.999999999999996,2.0,1.2,0.266,0.358,0.423,0.781,0,0,1,0,0,0,6,14,1,0,0,retired
B.J. Surhoff,22,40,479,19,2313,8258,1062,2326,1656,440,42,188,1153.0,670,141.0,84.0,640,839.0,3414,169.0,33.0,71.0,104.0,81.0,34.5,1.8,2.0,0.282,0.357,0.413,0.77,1,0,0,0,0,0,2,18,0,1,0,retired
Barry Bonds,21,42,573,22,2986,9847,2227,2935,1495,601,77,762,1996.0,1440,514.0,141.0,2558,1539.0,5976,165.0,106.0,4.0,91.0,688.0,162.79999999999998,7.4,8.0,0.298,0.557,0.607,1.164,13,8,12,0,7,0,7,7,5,3,7,retired
