Player,Team,Season,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,WAR,Pos,status,GGs,SSs,WS_MVP,MVPs,Bat_Titles,All_Stars
Christian Yelich,MIA,1,21,62,273,240,34,69,52,12,1,4,16,17,10,0,31,66,0.288,0.37,0.396,0.766,95,4,1,0,1,1,1.6,7,active,0,0,0,0,0,0
Christian Yelich,MIA,2,22,144,660,582,94,165,120,30,6,9,54,45,21,7,70,137,0.284,0.362,0.402,0.764,234,9,3,3,2,3,3.8,7,active,1,0,0,0,0,0
Christian Yelich,MIA,3,23,126,525,476,63,143,104,30,2,7,44,39,16,5,47,101,0.3,0.366,0.416,0.782,198,13,2,0,0,2,3.6,7,active,0,0,0,0,0,0
Christian Yelich,MIA,4,24,155,659,578,78,172,110,38,3,21,98,62,9,4,72,138,0.298,0.376,0.483,0.859,279,20,4,0,5,4,4.9,7,active,0,1,0,0,0,0
Christian Yelich,MIA,5,25,156,695,602,100,170,114,36,2,18,81,56,16,2,80,137,0.282,0.369,0.439,0.807,264,13,6,0,6,4,3.7,8,active,0,0,0,0,0,0
Christian Yelich,MIL,6,26,147,651,574,118,187,110,34,7,36,110,77,22,4,68,135,0.326,0.402,0.598,1.0,343,14,7,0,2,2,7.3,7,active,0,1,0,1,0,1
Christian Yelich,MIL,7,27,130,580,489,100,161,85,29,3,44,97,76,30,2,80,118,0.329,0.429,0.671,1.1,328,8,8,0,3,16,7.1,9,active,0,1,0,0,0,1
Christian Yelich,MIL,8,28,58,247,200,39,41,21,7,1,12,22,20,4,2,46,76,0.205,0.356,0.43,0.786,86,4,1,0,0,2,0.5,7,active,0,0,0,0,0,0
Christian Yelich,MIL,9,29,117,475,399,70,99,69,19,2,9,51,30,9,3,70,113,0.248,0.362,0.373,0.736,149,5,3,0,3,5,1.3,7,active,0,0,0,0,0,0
Christian Yelich,MIL,10,30,154,671,575,99,145,102,25,4,14,57,43,19,3,88,162,0.252,0.355,0.383,0.738,220,9,5,1,2,5,2.5,7,active,0,0,0,0,0,0
Christian Yelich,MIL,11,31,144,632,550,106,153,99,34,1,19,76,54,28,3,78,140,0.278,0.37,0.447,0.818,246,15,3,0,1,7,3.5,7,active,0,0,0,0,0,0
Christian Yelich,MIL,12,32,73,315,270,44,85,59,12,3,11,42,26,21,1,40,58,0.315,0.406,0.504,0.909,136,3,2,1,1,3,2.2,7,active,0,0,0,0,0,1
Mike Yastrzemski,SFG,1,28,107,411,371,64,101,55,22,3,21,55,46,2,4,32,107,0.272,0.334,0.518,0.852,192,4,4,1,3,1,2.5,7,active,0,0,0,0,0,0
Mike Yastrzemski,SFG,2,29,54,225,192,39,57,29,14,4,10,35,28,2,1,30,55,0.297,0.4,0.568,0.968,109,2,3,0,0,2,2.7,9,active,0,0,0,0,0,0
Mike Yastrzemski,SFG,3,30,139,532,468,75,105,49,28,3,25,71,56,4,0,51,131,0.224,0.311,0.457,0.768,214,3,9,1,3,4,2.5,9,active,0,0,0,0,0,0
Mike Yastrzemski,SFG,4,31,148,558,485,73,104,54,31,2,17,57,50,5,1,61,141,0.214,0.305,0.392,0.697,190,3,5,1,6,0,2.0,9,active,0,0,0,0,0,0
Mike Yastrzemski,SFG,5,32,106,381,330,54,77,38,23,1,15,43,39,2,2,45,99,0.233,0.33,0.445,0.775,147,5,3,2,1,3,2.4,9,active,0,0,0,0,0,0
Mike Yastrzemski,SFG,6,33,140,474,428,60,99,56,16,9,18,57,43,3,2,38,124,0.231,0.302,0.437,0.739,187,5,6,1,1,1,2.1,9,active,0,0,0,0,0,0
Austin Wynns,BAL,1,27,42,118,110,16,28,22,2,0,4,11,6,0,0,5,25,0.255,0.287,0.382,0.669,42,7,0,3,0,0,0.4,2,active,0,0,0,0,0,0
Austin Wynns,BAL,2,28,28,74,70,8,15,13,1,0,1,5,2,0,0,3,14,0.214,0.247,0.271,0.518,19,2,0,1,0,0,0.2,2,active,0,0,0,0,0,0
Austin Wynns,SFG,5,31,65,177,162,14,42,32,7,0,3,21,10,0,0,10,38,0.259,0.313,0.358,0.671,58,9,3,1,1,0,0.4,2,active,0,0,0,0,0,0
Austin Wynns,CIN,7,33,7,20,19,3,7,3,4,0,0,2,4,0,0,0,5,0.368,0.4,0.579,0.979,11,0,1,0,0,0,0.4,2,active,0,0,0,0,0,0
Jesse Winker,CIN,1,23,47,137,121,21,36,22,7,0,7,15,14,1,1,15,24,0.298,0.375,0.529,0.904,64,2,0,1,0,0,0.3,9,active,0,0,0,0,0,0
Jesse Winker,CIN,2,24,89,334,281,38,84,61,16,0,7,43,23,0,0,49,46,0.299,0.405,0.431,0.836,121,6,2,1,1,4,0.0,9,active,0,0,0,0,0,0
Jesse Winker,CIN,3,25,113,384,338,51,91,56,17,2,16,38,35,0,2,38,60,0.269,0.357,0.473,0.83,160,10,8,0,0,2,1.0,7,active,0,0,0,0,0,0
Jesse Winker,CIN,4,26,54,183,149,27,38,19,7,0,12,23,19,1,0,28,46,0.255,0.388,0.544,0.932,81,3,5,0,1,0,1.3,10,active,0,0,0,0,0,0
Jesse Winker,CIN,5,27,110,485,423,77,129,72,32,1,24,71,57,1,0,53,75,0.305,0.394,0.556,0.949,235,14,9,0,0,1,2.7,7,active,0,0,0,0,0,1
Jesse Winker,NYMWSN,8,30,145,508,430,63,109,72,23,0,14,58,37,14,4,63,106,0.253,0.36,0.405,0.764,174,12,10,2,3,2,2.0,7,active,0,0,0,0,0,0
Taylor Ward,LAA,1,26,34,102,94,16,26,18,6,2,0,5,8,2,0,8,28,0.277,0.333,0.383,0.716,36,1,0,0,0,0,0.1,9,active,0,0,0,0,0,0
Taylor Ward,LAA,2,27,65,237,208,33,52,29,15,0,8,33,23,1,1,20,55,0.25,0.332,0.438,0.769,91,4,6,2,1,0,0.6,9,active,0,0,0,0,0,0
Taylor Ward,LAA,3,28,135,564,495,73,139,92,22,2,23,65,47,5,3,60,120,0.281,0.36,0.473,0.833,234,5,4,0,5,0,3.5,9,active,0,0,0,0,0,0
Taylor Ward,LAA,4,29,97,409,356,60,90,58,18,0,14,47,32,4,2,39,80,0.253,0.335,0.421,0.756,150,9,8,0,6,0,1.7,7,active,0,0,0,0,0,0
Taylor Ward,LAA,5,30,156,663,585,73,144,91,26,2,25,75,53,6,4,63,163,0.246,0.323,0.426,0.748,249,11,7,0,8,0,2.3,7,active,0,0,0,0,0,0
Taylor Walls,TBR,1,24,54,176,152,15,32,21,10,0,1,15,11,4,2,23,49,0.211,0.314,0.296,0.61,45,3,0,1,0,0,1.4,6,active,0,0,0,0,0,0
Taylor Walls,TBR,2,25,142,466,407,53,70,42,18,2,8,33,28,10,3,52,120,0.172,0.268,0.285,0.553,116,6,2,2,2,0,2.5,6,active,0,0,0,0,0,0
Taylor Walls,TBR,3,26,99,349,303,50,61,39,12,2,8,36,22,22,1,44,92,0.201,0.305,0.333,0.638,101,1,1,1,0,0,2.0,5,active,0,0,0,0,0,0
Taylor Walls,TBR,4,27,84,252,218,27,40,31,5,3,1,14,9,16,4,31,67,0.183,0.282,0.248,0.529,54,3,0,0,3,0,1.4,6,active,0,0,0,0,0,0
Chad Wallach,MIA,1,26,15,52,45,4,8,6,1,0,1,5,2,0,0,4,23,0.178,0.275,0.267,0.541,12,0,2,1,0,0,0.0,2,active,0,0,0,0,0,0
Chad Wallach,MIA,2,27,19,54,48,4,12,8,3,0,1,3,4,0,0,6,12,0.25,0.333,0.375,0.708,18,0,0,0,0,0,0.1,2,active,0,0,0,0,0,0
Chad Wallach,MIA,3,28,15,48,44,4,10,6,3,0,1,6,4,0,0,3,12,0.227,0.277,0.364,0.64,16,1,0,1,0,0,0.2,2,active,0,0,0,0,0,0
Chad Wallach,LAA,6,31,65,172,157,18,31,18,5,1,7,15,13,0,1,13,57,0.197,0.259,0.376,0.635,59,5,0,2,0,0,0.1,2,active,0,0,0,0,0,0
Christian Walker,ARI,1,26,11,15,12,2,3,0,1,0,2,2,3,0,0,1,5,0.25,0.4,0.833,1.233,10,0,2,0,0,0,0.1,3,active,0,0,0,0,0,0
Christian Walker,ARI,3,28,152,603,529,86,137,81,26,1,29,73,56,8,1,67,155,0.259,0.348,0.476,0.825,252,11,6,0,1,6,2.7,3,active,0,0,0,0,0,0
Christian Walker,ARI,4,29,57,243,218,35,59,33,18,1,7,34,26,1,1,19,50,0.271,0.333,0.459,0.792,100,6,3,0,3,0,0.9,3,active,0,0,0,0,0,0
Christian Walker,ARI,5,30,115,445,401,55,98,64,23,1,10,46,34,0,0,38,106,0.244,0.315,0.382,0.696,153,8,4,0,2,1,0.6,3,active,0,0,0,0,0,0
Christian Walker,ARI,6,31,160,667,583,84,141,78,25,2,36,94,63,2,2,69,131,0.242,0.327,0.477,0.804,278,15,8,0,7,2,5.0,3,active,1,0,0,0,0,0
Christian Walker,ARI,7,32,157,661,582,86,150,79,36,2,33,103,71,11,0,62,127,0.258,0.333,0.497,0.83,289,13,8,0,8,3,3.7,3,active,1,0,0,0,0,0
Christian Walker,ARI,8,33,130,552,479,72,120,68,26,0,26,84,52,2,2,55,133,0.251,0.335,0.468,0.803,224,12,10,0,8,4,2.6,3,active,1,0,0,0,0,0
LaMonte Wade Jr.,MIN,1,25,26,69,56,10,11,6,2,1,2,5,5,0,1,11,9,0.196,0.348,0.375,0.723,21,0,2,0,0,0,0.0,8,active,0,0,0,0,0,0
LaMonte Wade Jr.,MIN,2,26,16,44,39,3,9,6,3,0,0,1,3,1,1,4,9,0.231,0.318,0.308,0.626,12,0,1,0,0,0,0.0,3,active,0,0,0,0,0,0
LaMonte Wade Jr.,SFG,3,27,109,381,336,52,85,47,17,3,18,56,38,6,1,33,89,0.253,0.326,0.482,0.808,162,3,5,4,3,1,1.4,9,active,0,0,0,0,0,0
LaMonte Wade Jr.,SFG,4,28,77,251,217,29,45,29,7,1,8,26,16,1,0,26,51,0.207,0.305,0.359,0.665,78,0,5,2,1,0,0.1,9,active,0,0,0,0,0,0
LaMonte Wade Jr.,SFG,5,29,135,519,429,64,110,77,14,2,17,45,33,2,0,76,95,0.256,0.373,0.417,0.79,179,4,6,4,4,3,2.8,3,active,0,0,0,0,0,0
LaMonte Wade Jr.,SFG,6,30,117,401,331,45,86,62,16,0,8,34,24,2,1,62,90,0.26,0.38,0.381,0.761,126,2,4,1,3,5,2.1,3,active,0,0,0,0,0,0
Alex Verdugo,LAD,1,22,37,86,77,11,20,13,6,0,1,4,7,0,0,8,14,0.26,0.329,0.377,0.706,29,4,0,1,0,0,0.4,9,active,0,0,0,0,0,0
Alex Verdugo,LAD,2,23,106,377,343,43,101,65,22,2,12,44,36,4,1,26,49,0.294,0.342,0.475,0.817,163,8,2,0,6,1,2.9,8,active,0,0,0,0,0,0
Alex Verdugo,BOS,3,24,53,221,201,36,62,40,16,0,6,15,22,4,0,17,45,0.308,0.367,0.478,0.844,96,4,2,0,1,1,2.2,9,active,0,0,0,0,0,0
Alex Verdugo,BOS,4,25,146,604,544,88,157,110,32,2,13,63,47,6,2,51,96,0.289,0.351,0.426,0.777,232,11,4,0,5,6,2.2,7,active,0,0,0,0,0,0
Alex Verdugo,BOS,5,26,152,644,593,75,166,115,39,1,11,74,51,1,3,42,86,0.28,0.328,0.405,0.732,240,14,3,0,6,2,0.9,7,active,0,0,0,0,0,0
Alex Verdugo,BOS,6,27,142,602,546,81,144,89,37,5,13,54,55,5,3,45,93,0.264,0.324,0.421,0.745,230,11,6,0,5,1,2.7,9,active,0,0,0,0,0,0
Alex Verdugo,NYY,7,28,149,621,559,74,130,88,28,1,13,61,42,2,1,49,93,0.233,0.291,0.356,0.647,199,14,1,2,10,0,0.8,7,active,0,0,0,0,0,0
Andrew Velazquez,TBR,1,23,13,12,10,3,3,2,1,0,0,0,1,1,0,1,3,0.3,0.417,0.4,0.817,4,0,1,0,0,0,0.3,5,active,0,0,0,0,0,0
Andrew Velazquez,BAL,3,25,40,77,63,11,10,8,1,1,0,3,2,4,2,10,23,0.159,0.274,0.206,0.48,13,2,0,4,0,0,0.2,6,active,0,0,0,0,0,0
Andrew Velazquez,NYY,4,26,28,68,67,11,15,9,4,1,1,6,6,4,1,1,23,0.224,0.235,0.358,0.594,24,1,0,0,0,0,0.0,6,active,0,0,0,0,0,0
Andrew Velazquez,LAA,5,27,125,349,322,37,63,46,8,0,9,28,17,17,1,15,119,0.196,0.236,0.304,0.54,98,3,3,6,3,0,1.4,6,active,0,0,0,0,0,0
Vince Velasquez,PHI,1,25,16,25,24,1,6,6,0,0,0,1,0,0,0,1,4,0.25,0.28,0.25,0.53,6,1,0,0,0,0,0.1,1,active,0,0,0,0,0,0
Vince Velasquez,PHI,2,26,30,45,40,2,9,8,1,0,0,1,1,0,0,0,11,0.225,0.225,0.25,0.475,10,2,0,5,0,0,0.1,1,active,0,0,0,0,0,0
Vince Velasquez,PHI,3,27,33,36,30,2,7,6,0,0,1,3,1,0,0,2,9,0.233,0.281,0.333,0.615,10,1,0,4,0,0,0.6,1,active,0,0,0,0,0,0
Vince Velasquez,PHISDP,5,29,24,30,23,0,2,2,0,0,0,3,0,0,0,2,9,0.087,0.16,0.087,0.247,2,0,0,5,0,0,0.0,1,active,0,0,0,0,0,0
Christian Vázquez,BOS,1,23,55,201,175,15,42,32,9,0,1,20,10,0,0,19,33,0.24,0.308,0.309,0.617,54,4,0,3,4,1,1.0,2,active,0,0,0,0,0,0
Christian Vázquez,BOS,4,26,99,345,324,43,94,69,18,2,5,32,25,7,2,17,64,0.29,0.33,0.404,0.735,131,14,3,0,1,0,0.8,2,active,0,0,0,0,0,0
Christian Vázquez,BOS,6,28,138,521,482,66,133,83,26,1,23,72,50,4,2,33,101,0.276,0.32,0.477,0.798,230,17,0,3,3,3,2.2,2,active,0,0,0,0,0,0
Christian Vázquez,BOS,7,29,47,189,173,22,49,33,9,0,7,23,16,4,3,16,43,0.283,0.344,0.457,0.801,79,6,0,0,0,0,0.9,2,active,0,0,0,0,0,0
Christian Vázquez,BOS,8,30,138,498,458,51,118,88,23,1,6,49,30,8,4,33,84,0.258,0.308,0.352,0.659,161,15,2,1,4,0,1.2,2,active,0,0,0,0,0,0
Christian Vázquez,BOSHOU,9,31,119,426,398,41,109,77,23,0,9,52,32,1,4,22,69,0.274,0.315,0.399,0.714,159,10,3,0,3,0,2.1,2,active,0,0,0,0,0,0
Daulton Varsho,ARI,1,23,37,115,101,16,19,9,5,2,3,9,10,3,1,12,33,0.188,0.287,0.366,0.653,37,1,2,0,0,0,0.1,8,active,0,0,0,0,0,0
Daulton Varsho,ARI,2,24,95,315,284,41,70,40,17,2,11,38,30,6,0,30,67,0.246,0.318,0.437,0.755,124,4,0,1,0,3,1.6,2,active,0,0,0,0,0,0
Daulton Varsho,ARI,3,25,151,592,531,79,125,72,23,3,27,74,53,16,6,46,145,0.235,0.302,0.443,0.745,235,8,7,2,5,0,4.9,9,active,0,0,0,0,0,0
Daulton Varsho,TOR,4,26,158,581,527,65,116,70,23,3,20,61,46,16,7,45,135,0.22,0.285,0.389,0.674,205,5,4,1,3,0,3.6,7,active,0,0,0,0,0,0
Daulton Varsho,TOR,5,27,136,513,459,73,98,52,21,7,18,58,46,10,2,48,137,0.214,0.293,0.407,0.7,187,2,4,1,1,1,5.0,8,active,1,0,0,0,0,0
Ildemaro Vargas,ARI,1,25,12,13,13,4,4,3,1,0,0,4,1,0,0,0,3,0.308,0.308,0.385,0.692,5,1,0,0,0,0,0.0,4,active,0,0,0,0,0,0
Ildemaro Vargas,ARI,2,26,14,20,19,2,4,3,0,0,1,4,1,1,0,1,4,0.211,0.25,0.368,0.618,7,1,0,0,0,0,0.1,5,active,0,0,0,0,0,0
Ildemaro Vargas,ARI,3,27,92,211,201,25,54,38,9,1,6,24,16,1,0,9,24,0.269,0.299,0.413,0.712,83,6,0,0,1,0,0.6,4,active,0,0,0,0,0,0
Ildemaro Vargas,CHCWSN,6,30,63,222,209,19,55,37,13,1,4,23,18,3,1,8,23,0.263,0.299,0.392,0.691,82,6,3,1,1,0,1.5,5,active,0,0,0,0,0,0
Ildemaro Vargas,WSN,7,31,86,286,262,32,66,47,13,2,4,31,19,1,1,19,20,0.252,0.304,0.363,0.666,95,10,1,3,1,0,0.8,5,active,0,0,0,0,0,0
Gio Urshela,NYY,1,27,132,476,442,73,139,84,34,0,21,74,55,1,1,25,87,0.314,0.355,0.534,0.889,236,13,5,0,4,1,3.8,5,active,0,0,0,0,0,0
Gio Urshela,NYY,2,28,43,174,151,24,45,28,11,0,6,30,17,1,0,18,25,0.298,0.368,0.49,0.858,74,6,1,0,4,0,2.1,5,active,0,0,0,0,0,0
Gio Urshela,NYY,3,29,116,442,420,42,112,78,18,2,14,49,34,1,0,20,109,0.267,0.301,0.419,0.72,176,16,1,0,1,0,0.6,5,active,0,0,0,0,0,0
Gio Urshela,MIN,4,30,144,551,501,61,143,100,27,3,13,64,43,1,0,41,96,0.285,0.338,0.429,0.767,215,21,2,0,7,2,2.9,5,active,0,0,0,0,0,0
Gio Urshela,LAA,5,31,62,228,214,22,64,53,8,1,2,24,11,3,2,10,36,0.299,0.329,0.374,0.703,80,9,1,0,3,0,0.7,5,active,0,0,0,0,0,0
Gio Urshela,ATLDET,6,32,128,461,432,34,108,79,19,1,9,52,29,0,0,23,72,0.25,0.286,0.361,0.647,156,13,1,0,5,1,0.7,5,active,0,0,0,0,0,0
Ramón Urías,BAL,1,26,10,27,25,3,9,6,2,0,1,3,3,0,0,2,6,0.36,0.407,0.56,0.967,14,1,0,0,0,0,0.1,6,active,0,0,0,0,0,0
Ramón Urías,BAL,2,27,85,296,262,33,73,52,14,0,7,38,21,1,2,28,76,0.279,0.361,0.412,0.774,108,3,6,0,0,0,2.0,6,active,0,0,0,0,0,0
Ramón Urías,BAL,3,28,118,445,403,50,100,66,17,1,16,51,34,1,0,30,98,0.248,0.305,0.414,0.72,167,7,5,3,4,1,3.8,5,active,1,0,0,0,0,0
Ramón Urías,BAL,4,29,116,396,360,45,95,66,22,3,4,42,29,3,1,27,101,0.264,0.328,0.375,0.703,135,10,8,0,1,0,1.8,5,active,0,0,0,0,0,0
Ramón Urías,BAL,5,30,100,301,272,39,69,47,9,2,11,37,22,1,1,23,55,0.254,0.322,0.423,0.745,115,0,5,0,1,0,1.5,5,active,0,0,0,0,0,0
Luis Urías,SDP,1,21,12,53,48,5,10,7,1,0,2,5,3,1,0,3,10,0.208,0.264,0.354,0.618,17,0,1,0,1,0,0.4,4,active,0,0,0,0,0,0
Luis Urías,SDP,2,22,71,249,215,27,48,35,8,1,4,24,13,0,1,25,56,0.223,0.329,0.326,0.655,70,8,9,0,0,0,0.4,6,active,0,0,0,0,0,0
Luis Urías,MIL,3,23,41,120,109,11,26,21,4,1,0,11,5,2,2,10,32,0.239,0.308,0.294,0.602,32,4,1,0,0,0,0.2,5,active,0,0,0,0,0,0
Luis Urías,MIL,4,24,150,570,490,77,122,73,25,1,23,75,49,5,1,63,116,0.249,0.345,0.445,0.789,218,9,10,1,3,3,3.3,5,active,0,0,0,0,0,0
Luis Urías,MIL,5,25,119,472,406,54,97,63,17,1,16,47,34,1,2,50,99,0.239,0.335,0.404,0.739,164,9,11,0,5,0,3.0,5,active,0,0,0,0,0,0
